company,text,created_at,favourite_count,retweet_count
AstraZeneca,"Together with partners across industry, academia and government, we are taking a multipronged approach to helping patients around the world facing #COVID19. https://t.co/uQuHj6BkBN",2020-05-06 13:13:41,44,8
AstraZeneca,"On #GivingTuesdayNow we stand with our partners @Plan_UK @Unicef_UK @ProjectHopeorg @NCDAlliance in their efforts responding to the unique health needs of groups vulnerable to #COVID19, such as those living with NCDs and young people. Get involved: https://t.co/YGRHLGqct6 https://t.co/vePEeAne49",2020-05-05 16:27:03,32,8
AstraZeneca,"We’re #standingtogether4asthma with patients and the respiratory community during these times of uncertainty. Visit @WEF to learn more about what we’re doing to play our part in the fight against #COVID19: #WorldAsthmaDay   
https://t.co/fWE7ik8rNs https://t.co/Z54pyHBENq",2020-05-05 12:30:15,19,7
AstraZeneca,"Navigating asthma management is tough, especially with the abundance of information around #COVID19. We want to ensure that asthma patients have access to accurate guidance to confidently manage their condition. https://t.co/DdQsbopg4A #WorldAsthmaDay #standingtogether4asthma https://t.co/UC4HYQZKr1",2020-05-05 08:31:20,18,13
AstraZeneca,We’re standing with the global respiratory community – both in the fight against #COVID19 and in ensuring patients get the information they need to feel empowered to effectively self-manage asthma at this time. #WorldAsthmaDay #standingtogether4asthma https://t.co/xXO10R0GAV,2020-05-05 07:30:01,21,5
AstraZeneca,"Now more than ever, a deeper understanding of #asthma management is needed. Learn from leading experts and @GA2P2 how patients with asthma can be supported during #COVID19: https://t.co/aPKfquDb73 #WorldAsthmaDay #standingtogether4asthma https://t.co/lzre1ZEo2F",2020-05-04 19:30:24,21,8
AstraZeneca,"José Baselga, EVP and President of Oncology R&amp;D, joined industry colleagues in a virtual press briefing organized by @IFPMA, explaining how we’re engaged in the fight against #COVID19. https://t.co/fOZ55pMMWZ https://t.co/OEbXWbKsub",2020-05-04 13:24:03,12,2
AstraZeneca,How can you tell if some cells in our body are bad? Jill Walker (Immuno-Oncology Diagnostic Development) dives into the diagnostics of #ctDNA and how the DNA of cancer cells may help us predict progression in certain cancers #STEM #AACR20 https://t.co/oL2tbL4qJ1,2020-05-01 14:20:26,41,9
AstraZeneca,"A #COVID19 vaccine is crucial to helping overcome this global pandemic. That is why we are partnering with @UniofOxford to support the global development, manufacturing and distribution of the University’s vaccine candidate if it proves to be effective.  https://t.co/L2ZYIy573L https://t.co/ZDrvLOFJFP",2020-04-30 11:47:01,297,152
AstraZeneca,"In response to #COVID19, teams across AstraZeneca have moved quickly to maintain continuity of care, contribute to society, and use our scientific expertise to fight the pandemic. https://t.co/S6vNp64Xba    https://t.co/0LZQcFRMH3",2020-04-29 12:04:02,1827,105
AstraZeneca,"Together with public research bodies and academic institutions, we are part of ACCORD, a new UK government-led initiative aiming to expedite the development of medicines to treat patients hospitalised with #COVID19:  https://t.co/NsoNPVeHcg https://t.co/JdhyAAn1K3",2020-04-29 08:00:24,75,32
AstraZeneca,Today we’re announcing results from a robust first quarter and our ongoing efforts to advance science in the fight against #COVID19 - https://t.co/5wVWlg7jK1. $AZN https://t.co/U98knH1Dmb,2020-04-29 06:10:11,582,54
AstraZeneca,"Why aren’t all medicines taken as pills? Teresa Klinowska, Global Project Leader in Oncology, explains some of the decisions that go into how medicines are developed. #SciencefromAtoZ #AACR20 https://t.co/yuoe3QQtf1",2020-04-28 18:08:22,18,4
AstraZeneca,"RT @ConquerCancerFd: .@AstraZeneca donates $1M lead gift to COVID Impacts Cancer, an emergency initiative powered by #ConquerCancer &amp; @ASCO…",2020-04-28 13:35:53,0,20
AstraZeneca,"Are all viruses bad? @Mark_Cobbold, a scientist &amp; VP Oncology Early Discovery, breaks down one of the most exciting areas of cancer research: viruses that are designed to infect and kill cancer cells. #SciencefromAtoZ #AACR20 https://t.co/Q2Iix6vk6y",2020-04-27 19:31:04,34,5
AstraZeneca,Today kicks off the first #AACR20 virtual annual meeting. We’re showcasing what the future holds for #cancer treatment – from #ImmunoOncology to DNA damage response. https://t.co/XncgkJyqsI,2020-04-27 14:02:01,14,3
AstraZeneca,#LungCancer is an underlying condition that increases the potential for complications and risk with #COVID19. A new #LungAmbition Alliance resource aims to help answer questions. #LCSM https://t.co/8fueCJBPTA https://t.co/ti9K3AfrCi,2020-04-25 14:15:03,30,7
AstraZeneca,"Clean and plentiful water is fundamental to human health, which is why we’ve begun a partnership with @WWFSverige to continue to develop our approach to water stewardship. https://t.co/qUEYTVM2Ru #EarthDay2020 https://t.co/oKLBpKpJsX",2020-04-22 19:25:08,7,2
AstraZeneca,We’re partnering with @WWFSverige  to strengthen our current water stewardship activities and identify opportunities to engage in on-the-ground water projects in the river basins in which we operate. https://t.co/qUEYTVM2Ru #EarthDay2020 https://t.co/9OJNaoXDeY,2020-04-22 12:49:07,17,4
AstraZeneca,We believe in the power of collaboration and we’re honored to be a part of this new partnership with @NIH and @FNIH_Org to drive solutions in the fight against #COVID19. #ACTIV https://t.co/CVPt4AzsXb,2020-04-17 13:23:45,74,25
AstraZeneca,We're accelerating research on #COVID19 therapies and partnering to boost testing to help patients in urgent need. We announced a new trial evaluating how one of our existing medicines may help alleviate the “cytokine storm” associated with this disease. https://t.co/qLfwG40Ok6 https://t.co/he251l21Pc,2020-04-15 13:28:25,87,44
AstraZeneca,"RT @touchfoundation: As #healthcareworkers work to keep us all safe, we must do the same for them. Thanks to @AstraZeneca we’re preparing #…",2020-04-13 20:22:15,0,9
AstraZeneca,"RT @PlanUK: #Coronavirus changes the rules in many aspects of our lives, including … cricket! While the lockdown continues, members of our…",2020-04-13 17:59:50,0,6
AstraZeneca,"Our purpose keeps us focussed on what matters – delivering life-changing medicines. Our Executive Vice President, HR, Fiona Cicconi, reflects on how our Values and Behaviours are helping us to deliver on our purpose during the global #COVID19 pandemic: https://t.co/rkcunbin0X https://t.co/16wr4EisM4",2020-04-09 11:51:02,25,10
AstraZeneca,"With an aim to decrease the impact of #COVID19, our R&amp;D teams are working in collaboration with government and academia to identify monoclonal antibodies that have the potential to recognise, bind to and neutralise the SARS-CoV-2 virus. https://t.co/WJXC9RMh2T https://t.co/EVaMbdcStw",2020-04-08 09:05:08,106,52
AstraZeneca,RT @PlanUK: Since 2010 our #YoungHealthProgramme with @AstraZeneca has empowered young people worldwide to lead healthier lives and fight n…,2020-04-07 20:28:05,0,3
AstraZeneca,"Together with @GSK and @Cambridge_Uni, we have formed a collaboration to support the UK Government’s effort to boost testing for #COVID19. A new testing facility will be set up at the University’s Anne McLaren laboratory to support this national effort. https://t.co/WYyYj0XlsQ https://t.co/KApoBYKPkY",2020-04-07 11:55:10,159,52
AstraZeneca,"This week during a virtual broadcast @davidnabarro, Special Envoy of the @WHO Director-General on COVID-19, brought his knowledge and extensive experience in infectious disease to our employees, whose questions were addressed on the present and future of #COVID19. https://t.co/fnf7FnjfBu",2020-04-03 14:31:02,26,8
