company,text,created_at,favourite_count,retweet_count
BayerPharma,Thank you #TeamBayer! #WeWontRest https://t.co/XLcGDAQwUz,2020-05-06 16:40:37,21,5
BayerPharma,We have known for a long time that #collaboration accelerates innovation. Join our discussion at #WMIF2020 about why combining expertise is the key to identify treatment options for #COVID19 and how new technology can be utilized to combat the disease. https://t.co/ud4XNNdcNd,2020-05-05 11:20:00,17,8
BayerPharma,As a member of @IFPMA #Bayer remains committed to joining forces with other member companies in the fight against the global #COVID19 pandemic. @EU_Commission #UnitedAgainstCorona #GlobalResponse https://t.co/Pano9VgV2m,2020-05-04 17:33:04,8,2
BayerPharma,"RT @Bayer: Welcome to our CEO Werner Baumann on @LinkedIn. Check out his first article on #Bayer’s vision ”Health for all, hunger for none”…",2020-04-30 10:32:23,0,19
BayerPharma,We’re focused on genomic #cancer testing. These tests may help doctors recommend treatments and clinical trials based on a patient’s unique tumor makeup. Learn about the importance of genomic cancer testing today: https://t.co/JJ2xbWEDR4 #AACR20 https://t.co/ZLuvR1cAE9,2020-04-29 08:00:01,12,3
BayerPharma,"Join us virtually at #AACR20, where we will be presenting new analyses on genomic alterations in cancer: https://t.co/x6Fx5s35gB https://t.co/gEqrivb5Im",2020-04-28 12:00:01,6,4
BayerPharma,"While #cancer seems to have found more ways to outsmart the immune system, we’re targeting what may be a key player in orchestrating immune escape. Discover more: https://t.co/Eb9opRSmCD #AACR #immunotherapy https://t.co/w6DWWO0cnK",2020-04-28 07:02:02,20,5
BayerPharma,"We invite you to join us virtually at this year’s #AACR20, where we will be presenting on a new approach to immunotherapy (IO). #cancer https://t.co/G6fhVmn6m6 https://t.co/GJP7ZgNn1c",2020-04-27 15:00:07,14,3
BayerPharma,"Join us virtually at #AACR20, where we will be presenting new analyses for patients with TRK fusion #cancer: https://t.co/v8vyRF0csz https://t.co/oS2uO9ryAT",2020-04-27 12:28:00,13,3
BayerPharma,We look forward to sharing the latest study progress of our cancer research with the scientific community at the virtual #AACR20. #OncologyInspired https://t.co/mmBKf7IncW https://t.co/CyigGJBGcw,2020-04-27 08:00:04,21,4
BayerPharma,"RT @Bayer: The well-being of our employees is important to us. So, in addition to donating protective gear, medicine, financial and other s…",2020-04-24 18:58:54,0,81
BayerPharma,#NEWS: #Bayer to share latest data from novel #cancer treatment approaches at #AACR20 Virtual Meeting I . https://t.co/ZtGzvfwBJy,2020-04-23 12:15:50,11,4
BayerPharma,We look forward to supporting @PHRIresearch in their global #COVID-19 #clinical research to foster much-needed solutions for #patients. Find more details here: https://t.co/GFOcGDmh8h https://t.co/YOCOQVzWyi,2020-04-21 13:40:01,21,2
BayerPharma,#NEWS: #Bayer partners with @PHRIresearch on global #clinical research evaluating #COVID-19 treatments. https://t.co/ZtGzvfwBJy,2020-04-21 12:40:00,33,6
BayerPharma,RT @Bayer: Bayer donates one million € in #France &amp; one million € in #Brazil to help fight the #Covid19 pandemic. Collaboration is the key…,2020-04-20 12:00:32,0,36
BayerPharma,"RT @Bayer: Is Chloroquine, the active ingredient of the #Bayer drug Resochin, a potential treatment for patients with #Covid19? Our Chief M…",2020-04-14 15:01:10,0,31
BayerPharma,"RT @Bayer: +++ Donating 8,000,000 tablets of chloroquine +++
We’re stepping up our efforts to fight the #Coronavirus pandemic with a donati…",2020-04-14 11:37:48,0,71
BayerPharma,"RT @Bayer: “We are continuing to produce our medicines for you – Please stay at home to help us!""
Our teams are working together to keep pr…",2020-04-13 18:59:46,0,50
BayerPharma,"RT @Bayer: We are supporting the fight against the #coronavirus in Spain with a comprehensive aid package. 
We are donating €800,000 to the…",2020-04-13 18:59:20,0,17
