company,text,created_at,favourite_count,retweet_count
GSK,"As a member of @IFPMA, we support the commitments to collaboratively accelerate the development, production and equitable access to new #COVID19 tools. https://t.co/6hIBhDreTX",2020-05-07 15:41:11,10,4
GSK,"As the world’s attention is focused on tackling #COVID19, how best can partnerships protect children and families from life-threatening diseases? GSK and @savechildrenuk global health experts’ discuss this here: https://t.co/0d5DdtzxnG #ProtectAGeneration #VaccinesWork",2020-05-07 12:23:39,20,9
GSK,Our oncology scientists are working hard to discover treatments that could transform the future of cancer treatment for patients. Go #BehindTheScience to find out more about our work in oncology.,2020-05-07 08:54:52,18,9
GSK,"This Sunday is #worldlupusday. In these challenging times, we want to continue to raise awareness and support those living with #lupus. Do you know who lupus affects? Vote below and we’ll share the answer tomorrow!",2020-05-07 07:14:31,9,4
GSK,"#WorldOvarianCancerDay is Friday, 8 May. Find out how you can join us, and others across the globe, in using your #PowerfulVoice to help raise awareness about #ovariancancer. #WOCD2020",2020-05-06 16:28:00,36,18
GSK,"@Ramesh93204 I have forwarded your comment to the appropriate teams here at GSK. If you are willing to share more of your experience, please reach out to us directly. You will find the contact info for our team in India from this link: https://t.co/0RPjiPNJrg",2020-05-06 16:15:09,0,0
GSK,"In Munich, Germany, we’ve long been partnering with Lichtblick Seniorenhilfe to provide free monthly lunches to the elderly. During #COVID19, our teams have scaled up the operation to get hot meals delivered to the homes of the elderly, 7 days a week. https://t.co/SvZ1Om6IuR https://t.co/eJ3fSDpzoH",2020-05-06 08:01:00,27,10
GSK,"To defeat #COVID-19 will take multiple successful collaborations across the pharmaceutical sector. At GSK, we're collaborating with partners to find innovative solutions for patients. Learn more: https://t.co/USCxLI9qBp https://t.co/H46E1p3DJa",2020-05-05 14:32:29,43,18
GSK,"Today’s #WorldAsthmaDay, so please join us in recognising the hard work of healthcare professionals everywhere, who are committed to keeping #asthma patients healthy, and out of hospital. Thank you! #InItTogether #COVID19 #coronavirus https://t.co/j1RM7I3oEA",2020-05-05 06:10:06,100,42
GSK,"@me_medgam Thank you for that information.  Please contact our local office there in Brazil, and they will be able to assist you.  You can find their contact information on this site:
https://t.co/eJQEPmpDoN",2020-05-01 21:35:45,1,0
GSK,@LeeKariuki6 You will find the contact information for our team in Kenya from this link:  https://t.co/qIIMcjlGQf,2020-05-01 17:18:25,0,0
GSK,"@LeeKariuki6 If you let me know what country you are in, I can provide a link to the contact information for our local office, where they can discuss your concerns.

-Crystal",2020-05-01 15:56:43,1,0
GSK,Fantastic news - this award recognises the commitment of everyone at GSK working on this project to support #PLHIV. Thank you and well done! https://t.co/B6114rTwfc,2020-05-01 10:40:30,48,14
GSK,A significant global effort is underway to develop vaccines against COVID19 but just how long will it take until we have one? Check out the article by @JamesTGallagher @bbchealth on #coronavirus #vaccine progress: https://t.co/EEON7KbDLs,2020-05-01 08:41:00,56,24
GSK,@_Skip_ToTheEnd Hello and thank you for reaching out. Our local office in the UK is best equipped to answer questions about the availability of products in your local market.  You can find their contact information here: customercontactuk@gsk.com / Tel: pref+44 (0)800 221 441,2020-04-30 13:57:51,0,0
GSK,"Did you know that immunisation plays a key role in achieving 14 of the 17 sustainable development goals to end poverty, protect the planet and ensure prosperity for all? #WIW2020  https://t.co/jXrfyjuJxc",2020-04-30 08:02:00,70,27
GSK,"RT @ViiVHC: Fraser Drummond, our Country Medical Director, wants to say #thankyou to the pharmaceutical staff.

#COVID19 https://t.co/yZbH0…",2020-04-30 07:05:48,0,2
GSK,RT @ViiVHC: Our ViiV Healthcare Global #HIV and #COVID19 Emergency Response Fund will provide support for those working to address unanswer…,2020-04-30 07:03:46,0,11
GSK,#NEWS for #investors and #media: @US_FDA has approved a new indication for Zejula in the US. Visit the media section of https://t.co/QvmC2awbLH to find out more: https://t.co/nfon87oMMN,2020-04-29 19:33:39,25,12
GSK,"Our #oncology work is complex, but our goal simple: create potentially transformational medicines to improve patient outcomes. We're presenting our latest research at #AACR20 and celebrating the latest discoveries across #cancerresearch. Find out more: https://t.co/2SZs8IeKks",2020-04-29 18:15:00,41,9
GSK,"Our CEO, Emma, expresses confidence in GSK’s future performance: https://t.co/nDrjLkAVL8 https://t.co/4prpyW9o2a",2020-04-29 14:24:01,16,1
GSK,"As a long-term partner to @gavi we welcome the new @DFID_UK funding pledge today. #COVID19 and the increased risk of outbreaks of vaccine-preventable diseases, make GAVI's work more important than ever, that’s why we’re urging full GAVI replenishment in June 2020. https://t.co/8ZVet0HUwf",2020-04-29 13:38:08,29,5
GSK,"As a long-term partner to @gavi we welcome the new @DFID_UK pledge to GAVI funding. As its largest vaccines supplier, we understand the crucial role the alliance plays in making vaccines work for all, that’s why we’re urging full GAVI replenishment in June 2020. https://t.co/tMl21XKqib",2020-04-29 13:36:57,21,5
GSK,"Our CEO, Emma, on our Q1 performance. https://t.co/7hcOMWsiTF https://t.co/pe8JpdI9om",2020-04-29 13:25:01,21,6
GSK,"Our CEO, Emma, highlights our response to the COVID-19 pandemic as part of our Q1 results announced today: https://t.co/4rLtUXefIE https://t.co/FdKl6cdNja",2020-04-29 12:25:01,26,10
GSK,"#Investors and #Media: join Emma Walmsley, Iain Mackay and Luke Miels for our Q1 2020 live results webcast at 14:00 BST, 09:00 EDT. $GSK https://t.co/13St7uhbor https://t.co/Hfk6DdqYQr",2020-04-29 12:00:02,11,4
GSK,#NEWS We’ve just announced our Q1 2020 results with growth in sales and earnings. Read about how we’re responding to the COVID-19 pandemic and find out more about our performance during the quarter. $GSK,2020-04-29 11:43:34,87,21
GSK,Please read this cautionary statement regarding forward-looking statements and the definitions and reconciliations for non-IFRS measures for our Q1 2020 results. CER% represents constant exchange rates. £% or AER% represents actual exchange rates. $GSK https://t.co/0W0BwfZ37H,2020-04-29 10:59:00,10,1
GSK,"We’re announcing our Q1 2020 results today at 12:00 BST, 07:00 EDT. $GSK https://t.co/AwXBBTEY9s",2020-04-29 08:27:43,20,4
GSK,"@Mosaha14 Thanks for your interest in working with us! If you go to the careers section of our website you can find all our available job opportunities: 

https://t.co/jXHduo4gwI

Best of luck with your application!",2020-04-28 16:15:34,1,0
GSK,"In today’s uncertain times, our scientists are steadfast in their commitment to progressing the R&amp;D of novel therapies to address unmet medical needs. Learn more about our latest cancer research: https://t.co/LXc5B2mzMt #AACR20",2020-04-28 14:16:05,20,7
GSK,"Vaccination is the foundation of healthy lives and healthy communities. As a partner since 2000, we have supplied @Gavi with more than 740 million doses of vaccines since 2010, with more than 110 million of these in 2019 alone. #VaccinesWork #WIW2020 https://t.co/22saAlxZ28",2020-04-28 12:01:00,58,15
GSK,Our far-reaching partnership with @savechildrenuk helps many children in remote communities have access to the vaccines they need to stay healthy. #SavetheChildren #WIW2020 https://t.co/EIwx1tklmf,2020-04-28 10:31:25,26,7
GSK,@raawasno1 Our local office in India is best equipped to answer questions about the availability of products in your local market.  You can find their contact information using this link: https://t.co/0RPjiQ5kiO,2020-04-27 20:05:06,0,0
GSK,@foolhandy Hello and thank you for reaching out. Our local office in the UK is best equipped to help you with this.  You can find their contact information here:Tel: pref+44 (0)800 783 8881 / customer.relations@gsk.com,2020-04-27 19:22:55,0,0
GSK,"@theman55254601 Thanks for sharing this with us. The best way to propose a new idea about, or treatment for, COVID-19, would be to contact one of our specialist teams. You can find their contact details on our website: https://t.co/khWoc0L5qK",2020-04-27 18:14:55,0,0
GSK,"Each disease is unique and has its own set of characteristics that we need to fully understand to create an effective vaccine. Go #BehindTheScience with Jamila Louahed, the head of our vaccines R&amp;D site in Belgium, to understand how we develop new vaccines. #WIW2020 https://t.co/Lcr0JJJbIr",2020-04-27 15:17:41,27,11
GSK,"Beating #COVID19 requires us to work together better than ever before, so we have joined forces with Sanofi to develop a #vaccine. #WIW2020 https://t.co/kh3n5FsW88",2020-04-27 15:15:57,99,31
GSK,"GSK supports global health security  by preparing for and responding to pandemics in a way that is science-led, impactful, and sustainable. 

Watch this video to learn  more about how adjuvants could help fight outbreaks.
#BehindTheScience #WIW2020 https://t.co/OQHMXHLj6C",2020-04-27 15:11:54,17,7
GSK,RT @ViiVHC: Our ViiV Healthcare Global #HIV and #COVID19 Emergency Response Fund will provide support for those working to help address spe…,2020-04-27 14:46:51,0,29
GSK,"How do adjuvants work? Come with us #BehindtheScience to find out.
#WIW2020 https://t.co/U6l6Vx4Aw0",2020-04-27 08:30:29,43,17
GSK,"Defeating #COVID19 requires a collective effort from everyone working in healthcare. Collaborations between scientists, industry, regulators, governments and healthcare workers will help protect people and deliver global solutions to this pandemic. https://t.co/aKJ1EqxCv4 https://t.co/WuDWcK3Tcz",2020-04-27 08:16:49,25,12
GSK,"We’ve joined the COVID-19 Therapeutics Accelerator, making compounds from our libraries available for screening for activity against #COVID19. Learn more: https://t.co/aKJ1EqxCv4 https://t.co/40JhN4Az74",2020-04-27 06:56:11,42,14
GSK,"Malaria still kills 1 child every 2 minutes in the world's poorest communities. Efforts must be sustained to prevent, detect and treat malaria cases while preventing the spread of #COVID19. #WorldMalariaDay https://t.co/ARx0X7l3IL",2020-04-25 13:46:44,40,7
GSK,"One year since the start of the @WHO-coordinated pilot of our malaria vaccine, find out what motivates Dr Nekoye Otsyula, a scientist working in Nairobi, Kenya. Hear her story #WorldMalariaDay #WIW2020 https://t.co/AJ2SUu6tKJ",2020-04-25 09:16:56,91,40
GSK,"@AmyGoodship Hi, Amy - Thank you for reaching out and I apologize for this inconvenience.  Our local office in the UK is best equipped to help you with this issue.  You can find their contact information using this link: https://t.co/AzvDF9JxJ4",2020-04-24 16:59:41,1,0
GSK,"As a member of @IFPMA, we fully support the commitments made today to collaboratively accelerate the development, production and equitable access to new #COVID19 tools. https://t.co/8ulzWby9Lb",2020-04-24 15:30:54,25,7
GSK,"Meningitis can be hard to recognise because it shares signs and symptoms with flu and other common viral infections. That’s why we’re committed to #DefeatMeningitis 
#WorldMeningitisDay #WIW2020 https://t.co/6FxHvImD7X",2020-04-24 10:50:07,29,16
GSK,"The global response to #Covid19 is being led by the #STEM heroes of today. At GSK we support #STEM training for future heroes too, with great UK curriculum resources for 11-14s available free. Learn more: https://t.co/85qpQGy4hS #edutwitter #homelearning https://t.co/J80e8iwedZ",2020-04-24 07:51:20,32,11
GSK,"In these uncertain times, it’s crucial we continue working to address unmet patient needs. Women all over the world are living with #endometrialcancer, the 6th most common cancer in women &amp; one with a typically poor prognosis when diagnosed at late stage. We want to change this. https://t.co/bAuMGEJZPB",2020-04-24 06:14:07,44,17
GSK,"@emetrix To see how GSK is responding to the COVID-19 situation, please visit this web page: https://t.co/qMNd6nJEvW",2020-04-24 05:07:47,0,0
GSK,"@me_medgam If you let me know what country you are in, I can provide a link to the contact information for our local office, where they can discuss your situaiton and see what can be done.",2020-04-24 03:54:18,0,0
GSK,"@GeorgieDonates Hello and thank you for reaching out. Our local office in the UK is best equipped to help you with this.  You can find their contact information below:

customer.relations@gsk.com
Tel: pref+44 (0)800 783 8881",2020-04-23 20:57:53,1,0
GSK,"@MAbuzahbi Thank you for contacting us.  Please reach out to our Integrity Speak Up Line to report this situation. You will find that department's contact information below:

Website:  https://t.co/EjyVxQ7JPJ
Phone: 1-866-GSK-ETHICS (1-866-475-3844)
Email:  integrityspeakupline@gsk.com",2020-04-23 14:16:05,0,0
GSK,"RT @ViiVHC: Michelle Kisare, our Regional Medical Scientist, wants to say #thankyou to Healthcare workers.

#COVID19 https://t.co/1RsIFRRJLN",2020-04-23 07:36:04,0,17
GSK,@NequeaNet Hello and thank you for reaching out. Our local office in India is best equipped to address this issue.  You can find their contact information using this link: https://t.co/0RPjiPNJrg,2020-04-22 19:57:40,0,0
GSK,"At our Nyon Campus in Switzerland we've adapted our production to the manufacture of hydroalcoholic solution. 50,000 bottles of hand sanitizer will be supplied to local doctors and #COVID19 diagnostic centres in the region. https://t.co/D75bzPvoT3 https://t.co/9rjRvUJFxF",2020-04-22 12:43:42,59,10
GSK,"We’re committed to tackling #COVID19, and realise that collaboration is key to doing that. We’ve announced a series of collaborations, including an unprecedented partnership with Sanofi in our efforts to tackle this virus. #Wewontrest https://t.co/LSagQwMugB",2020-04-21 16:39:25,11,6
GSK,"@TheBeachCafeNYC Thanks for reaching out to us. I wish I could help but unfortunately, we are unable to due to the sheer number of requests for sponsorship we receive. It's great to hear what you are doing however and I wish you all the best.",2020-04-21 15:24:18,0,0
GSK,@samueltaylor6 Hi Sam - Would you tell me where you are located so that I can get you the contact information for one of our response centers near you. They would be the best team to discuss your comments and concerns. -Crystal,2020-04-20 20:21:10,0,0
GSK,It's #NationalVolunteerWeek in the US and we’re celebrating all our employees who go the extra mile to help those in need in their local community. Thank you for all you do. https://t.co/aJSetKaJoy,2020-04-20 14:22:38,20,2
GSK,"We're proud and delighted to be standing with @DIVAmagazine and @LesbianVisWeek to celebrate #LGBTQI women. 🏳️‍🌈

Find out more about getting involved here: https://t.co/C3j7It7bGx https://t.co/yIpIa8BCpD",2020-04-20 11:07:11,26,6
GSK,"We’re helping combat #COVID19 by sharing our pandemic adjuvant technology with partners across the world. Adjuvants allow more doses to be produced, helping more people. Here’s the science explained…https://t.co/lHgLJjluso https://t.co/9G3PHCCcO1",2020-04-20 10:40:23,78,30
GSK,Unprecedented times require unprecedented teamwork. That’s why we’re working with @Sanofi on a #vaccine to beat #COVID19. #InItTogether #coronavirus,2020-04-18 09:51:19,212,58
GSK,Don’t miss today's @glblctzn One World: #TogetherAtHome – a global broadcast &amp; digital special to support @who &amp; healthcare workers in the global fight against #COVID19. We’re proud to be a sponsor for this very special event. Tune in 👉 https://t.co/TPS7SdCouX,2020-04-18 08:30:00,54,25
GSK,Proud to be a sponsor for @glblctzn One World: #TogetherAtHome – a global broadcast &amp; digital special to support @who &amp; healthcare workers in the global fight against #COVID19. Tune in tomorrow 👉 https://t.co/TPS7SdCouX,2020-04-17 12:15:00,34,23
GSK,"Our partners at the @sciencemuseum have some great ideas for #STEM #homelearning. Take a virtual tour of the exhibits and explore over 250,000 objects in their collection plus learning resources and games to play online. https://t.co/e7KPSXWhiF https://t.co/DAks8QfCJn",2020-04-17 11:05:07,45,20
GSK,"@jayakumar1959 Thanks for sharing this with us. The best way to propose a new idea about, or treatment for, COVID-19, would be to contact one of our specialist teams. You can find their contact details on our website: https://t.co/khWoc0L5qK",2020-04-16 13:57:31,0,0
GSK,"RT @ViiVHC: Ben Young, our Head of Global Medical Directors, wants to say #thankyou to those saving lives amid the #COVID19 pandemic. https…",2020-04-16 13:35:41,0,14
GSK,"Thank you 👏 to all the amazing front line health workers fighting #COVID19 worldwide and to our own GSK teams working to continue the supply of vital medicines, vaccines and healthcare products ❤️ #InItTogether https://t.co/bk0kjXoLXs",2020-04-16 13:26:56,210,56
GSK,"RT @WSJ: GlaxoSmithKline, the world’s biggest vaccine maker, and Sanofi, the fourth largest, are joining forces to develop a coronavirus va…",2020-04-15 18:23:01,0,137
GSK,RT @business: Two of the world’s biggest vaccine makers are joining forces to tackle the coronavirus as the number of confirmed infections…,2020-04-15 16:43:59,0,74
GSK,"@Snap07 Thanks for sharing this with us. The best way to propose a new idea about, or treatment for, COVID-19, would be to contact one of our specialist teams. You can find their contact details on our website: https://t.co/khWoc0L5qK",2020-04-15 16:43:11,0,1
GSK,"@April04771089 Thanks for sharing this with us. The best way to propose a new idea about, or treatment for, COVID-19, would be to contact one of our specialist teams. You can find their contact details on our website: https://t.co/khWoc0tu2a",2020-04-15 15:20:02,0,0
GSK,Beating #COVID19 requires us to work together better than ever before. We’re partnering with @sanofi to develop a #vaccine. Find out more: https://t.co/jR1sGP3Mci #coronavirus https://t.co/9fiuGMNeP8,2020-04-15 15:10:11,142,56
GSK,RT @SkyNews: Coronavirus: GSK-Sanofi vaccine partnership puts competition to one side https://t.co/C2563DBZyl,2020-04-15 14:17:41,0,53
