company,text,created_at,favourite_count,retweet_count
Merck,"“Nurses today are waging war worldwide against COVID-19, a foe as formidable as any in recorded human history.”  Read more from our own Jan Nissen via @wef on how #COVID19 reminds us of the crucial role nurses play: https://t.co/K9RNhpKHML #ThankYouNurses",2020-05-07 18:10:43,21,3
Merck,We're proud to present at the BofA Securities 2020 Health Care Conference on May 12: https://t.co/sxXME7g4un $MRK,2020-05-07 10:59:17,1,0
Merck,We’re sharing our latest #oncology data and studies at @ASCO. Be sure to follow the conversation at #ASCO20: https://t.co/QQreeL54xR $MRK https://t.co/lbs3QkLXp7,2020-05-07 10:46:46,13,6
Merck,RT @MerckforMothers: “Our health care systems must be agile enough to ensure women have a safe pregnancy and childbirth even under the pres…,2020-05-06 19:30:52,0,8
Merck,"From our neighborhood to yours, we’re sending gratitude to every nurse on the #COVID19 front lines. This #NationalNursesDay tag a nurse you’d like to thank below ⬇️ https://t.co/Dm0fgWlqkF",2020-05-06 15:14:42,51,13
Merck,Learn more about our latest news in #infectiousdiseases: https://t.co/g5TlW5cL8x $MRK https://t.co/W5ff4GbPx5,2020-05-06 10:49:33,15,9
Merck,"This #GivingTuesdayNow, let’s come together to pass on the generosity to those impacted by #COVID19. https://t.co/UCq00jwoVP",2020-05-05 19:08:37,24,1
Merck,"From United States 📍 Denmark 📍 France  📍 South Africa 📍 Jordan 📍 - ​our volunteers are taking their efforts global, inspiring others to give together even when we’re apart. #GivingTuesdayNow https://t.co/332yBxyAUT",2020-05-05 16:53:53,44,8
Merck,"With this new commitment, we have contributed or committed more than $30M in support of global, national and local #COVID19 relief efforts. #GivingTuesdayNow https://t.co/nfUvbVxP9Z",2020-05-05 10:46:14,28,9
Merck,"In solidarity and support of the global day of unity, #GivingTuesdayNow, today we announce our commitment to an additional $10M to #COVID19 relief efforts to help disparately impacted patients and communities, and animals. Learn more: https://t.co/8CmJJ3AFwZ https://t.co/K1O6NDGJpt",2020-05-05 10:46:13,57,25
Merck,Hear how blockchain technology can contribute to supply chains in times of uncertainty like #COVID19.,2020-05-04 14:31:50,20,6
Merck,"“Dear J.B.: Suddenly you are facing decisions about your body and your future that no one should have to make.” When J.B. was diagnosed with #melanoma, focusing on the present was her guiding light. Hear her #WithLoveMe story this #MelanomaMonday. https://t.co/nzJrUkWzqq",2020-05-04 12:37:48,19,3
Merck,"To doctors, delivery people and everyone in-between, #ThankYou for your unbound courage. #COVID19 https://t.co/10QmRIzK6n",2020-05-01 18:09:12,55,13
Merck,"In these difficult times, we want to thank the brave people who continue to work on the front lines to help mitigate the spread of vaccine-preventable diseases. #WorldImmunizationWeek https://t.co/2W1oevITqy",2020-04-30 18:49:03,37,5
Merck,"During this unprecedented time, we're committed to ensuring our medicines and vaccines reach our patients and customers. Learn more about our #COVID19 efforts: https://t.co/tyGI5S4tBK https://t.co/zCMsEWROoJ",2020-04-30 15:40:09,40,5
Merck,See more about our latest #oncology update: https://t.co/GVT4I3wlYY $MRK https://t.co/HyHmuQVPjM,2020-04-28 20:43:57,33,13
Merck,"Ken Frazier, Chairman &amp; CEO, on our 1Q 2020 #earnings financial results: https://t.co/t28XgAE9sp $MRK https://t.co/mEGGbRSFYj",2020-04-28 13:19:34,36,4
Merck,#ByTheNumbers: Check out highlights from our 1Q 2020 #earnings report. $MRK https://t.co/xbyEopsutd,2020-04-28 12:02:40,13,1
Merck,Join us this morning at 8 a.m. ET to learn more about our 1Q 2020 #earnings: https://t.co/fRDYTU7IDa $MRK https://t.co/JzZiJE8kIL,2020-04-28 11:29:04,9,1
