company,text,created_at,favourite_count,retweet_count
Novartis,@MigraineScoop We saw your tweet and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-05-07 19:55:40,0,0
Novartis,"@kevin15891500 Thanks for reaching out. We are sorry to hear about your experience. Please provide the name of the product, your location, contact info and social media username to nps.safetydesk@novartis.com so we can follow up.",2020-05-06 19:57:40,0,0
Novartis,"RT @NovartisFDN: ""The health and care system that we reorient today toward smarter technology will be the one that saves lives tomorrow.” I…",2020-05-06 15:20:08,0,5
Novartis,@BEBE1814 Thanks for reaching out. You can find contact info for your local Novartis office here: https://t.co/Xz6ahjYrtx,2020-05-05 15:56:52,0,0
Novartis,This World Asthma Day we are grateful for every organization and healthcare professional supporting people with asthma. https://t.co/MaerwxJy9Y,2020-05-05 06:30:06,72,19
Novartis,@meetvazz Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to india.drug_safety@novartis.com so that we can follow up with you directly.,2020-05-04 20:19:46,0,0
Novartis,@SimranW83374955 Please contact our local office in India by phone at +91 22 50243000 or click here: https://t.co/ZBtRbP4qi3,2020-05-01 19:01:24,0,0
Novartis,@arikanto Please contact our local office in Germany by phone at +49 6421 39 15 or click here: https://t.co/dmmknktwzz,2020-04-30 15:11:20,0,0
Novartis,@alfredot1045 Please contact our local office in Peru by phone at +51 1 200 6400 or click here: https://t.co/9y4aQ5LEmY,2020-04-30 15:06:24,0,0
Novartis,The solution: couriers across countries and diplomatic negotiations to get the potentially life-changing investigational treatment to the patient’s home. 4/4,2020-04-30 12:08:00,13,1
Novartis,"“We knew we had to try everything possible to get the investigational treatment to her because stopping could potentially have negative consequences for her health,” says Elena Ravasi, a leader of the team. 3/4",2020-04-30 12:08:00,10,2
Novartis,"As borders closed and transit stopped across Europe, a @NovartisItalia clinical trials team needed to get an experimental treatment to a #breastcancer patient living in Eastern Europe. 2/4",2020-04-30 12:07:59,4,0
Novartis,We’re working to overcome the challenges of #COVID19 and keep our trials on track and participants in treatment. 1/4,2020-04-30 12:04:46,31,11
Novartis,@kayjae_kj Please contact our local office in Oman by phone at +968 24790 801 or click here: https://t.co/THu2ETJweB,2020-04-27 19:34:48,0,0
Novartis,"The 2009 launch of the first pediatric antimalarial has contributed to a reduction in malaria deaths among children. Yet, today a child still dies of malaria every 2 min. Together we need to continue the fight against malaria. #NovartisGlobalHealth #WorldMalariaDay #MalariaFuture",2020-04-25 12:00:00,58,10
Novartis,@D84569572 Thank you for your message and for sharing your experience with us. We wish you the best.,2020-04-22 16:06:08,0,0
Novartis,@Officialjunaid6 Please contact our local office in India by phone at +91 22 50243000 or click here: https://t.co/ZBtRbP4qi3,2020-04-22 15:06:38,1,0
Novartis,@MarieRampin Please contact our local office in El Salvador by phone at +503 2555 6999 or click here: https://t.co/LAj8E7k6sP,2020-04-17 15:20:32,0,0
Novartis,@rbaltikahn We saw your tweet. We advise you to consult your physician. For more info please visit: https://t.co/Nb55RjuNkX,2020-04-16 17:27:34,0,0
Novartis,@Weeshnoo Please contact our local office in India by phone at +91 22 50243000 or click here: https://t.co/ZBtRbP4qi3,2020-04-16 17:01:47,0,0
Novartis,@fiaheisenberg Please contact our local office in Guatemala by phone at +502 2422 8400 or click here: https://t.co/Vvc5T1Gm9U,2020-04-16 16:59:41,1,0
Novartis,"@candidamgb We recommend you contact our local office in Brazil for this matter. They can be reached by phone at 0800 888 3003 from Monday – Friday, 8:30am - 05:00pm (GMT-3) or via email at sic.novartis@novartis.com. The local team will follow up with you directly once you contact them.",2020-04-15 18:46:13,2,0
Novartis,@BRaiseyourvoice Please contact our local office in the UK by phone at +44 1276 692255 or click here: https://t.co/eTZyC2rwdW,2020-04-15 18:45:08,1,0
Novartis,@Random_Muzings Please contact our local office in Canada by phone at +1 514-631-6775 or click here: https://t.co/XVjhnLlS7B,2020-04-15 18:43:18,0,0
Novartis,@atishtwit Please contact our local office in India by phone at +91 22 50243000 or click here: https://t.co/Xz6ahjYrtx,2020-04-14 16:35:11,0,0
Novartis,@d122fa61d88a453 Please contact our local office in Pakistan by phone at +92 21 3231 3386 or click here: https://t.co/cluLS1YQcF,2020-04-13 20:18:28,0,0
Novartis,@d122fa61d88a453 Please contact our local office in Pakistan by phone at +92 21 3231 3386 or click here: https://t.co/3HpYi3vHTm,2020-04-13 20:16:38,0,0
Novartis,@kahara_dennis Please contact our local office in Kenya by phone at +254 20 273 7771 or click here: https://t.co/r4cAITv3HI,2020-04-08 14:52:47,1,0
Novartis,Learn more about the COVID-19 Response Fund and our response to the #coronavirus pandemic at https://t.co/WyhGtaiVpH 3/3,2020-04-07 15:59:24,26,4
Novartis,"Over 50 projects have been approved to receive funding, including in Italy, Brazil, and sub-Saharan Africa. 2/3",2020-04-07 15:59:23,39,6
Novartis,Our recently announced COVID-19 Response Fund is providing urgently needed support for healthcare workers and communities around the world. #COVID19 1/3,2020-04-07 15:56:47,87,33
Novartis,"RT @Sandoz_Global: On #WorldHealthDay in the year of #NursesAndMidwives, we are truly thankful for the hard work of all healthcare professi…",2020-04-07 13:56:03,0,16
Novartis,"@Bokime86 @Bokime86​, thanks for reaching out. Please reach your local office at +234 1 700 9911 for more specific information about Tegretol availability in Nigeria.",2020-04-06 20:01:38,0,0
Novartis,@ratnakarvja Thanks for reaching out. We recommend you contact our local office in India by phone at +91 22 5024 3000 or click here: https://t.co/M9NQ9APGhY,2020-04-06 19:55:34,0,0
Novartis,@GosaliHardianto Thanks for reaching out. We recommend you contact our local office in Indonesia by phone at +62 21 3048 0600 or click here: https://t.co/OUE5RQrKvp,2020-04-06 19:41:02,0,0
Novartis,@dbisping Thanks for reaching out. We take product safety seriously and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-04-06 18:46:17,0,0
Novartis,We are supporting ongoing hydroxychloroquine clinical trial efforts and plan to evaluate needs for additional clinical trials. https://t.co/RwO9Wdycce 3/3,2020-04-06 17:51:08,29,8
Novartis,We have already donated our first consignment to the US Department of Health and Human Services and are responding to requests from governments around the world with additional donations planned to go out this week. https://t.co/qo8EvSjJit 2/3,2020-04-06 17:51:07,39,11
Novartis,We have committed to donate up to 130 million doses of hydroxychloroquine globally to support the COVID-19 pandemic response – this is a donation. 1/3,2020-04-06 17:44:51,304,108
Novartis,@PA02034161 Thanks for reaching out. Novartis is following the COVID-19 outbreak situation closely. Please reach your local office +54 11 4703-7000 for more specific information about Trileptal in Argentina.,2020-04-02 17:08:07,0,0
Novartis,@AnnaChamz Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to medinfo.uk@novartis.com so we can follow up.,2020-04-01 17:57:15,0,0
Novartis,@spiderwwwweb Thanks for reaching out. Please contact our office in the UK at +44 1276 698370 or click here: https://t.co/u1Bx3N404B,2020-04-01 14:26:28,1,0
Novartis,@HaltusJacques We saw your tweet. We take product safety seriously and want to know more. Please provide your contact info and social media username to phv.phfrru@novartis.com so we can follow up.,2020-03-31 18:54:25,0,0
Novartis,"@cooten9009 @cooten9009​, thanks for reaching out. At this time, we are confident that our stock is sufficient to cover production/ distribution needs.. Please reach your local office +41 61 324 1111 for more specific information about the Swiss situation.",2020-03-30 20:55:05,0,0
Novartis,"@DrBradBarnett @DrBradBarnett​, unfortunately, we are unable to provide medical advice. Please contact our Medical Info team +1-888-NOW-NOVA in the US.",2020-03-30 20:53:45,0,0
Novartis,RT @VasNarasimhan: Our first shipments of #hydroxychloroquine are underway to @HHSGov to support clinical studies evaluating its effectiven…,2020-03-30 16:16:10,0,128
Novartis,"@indieadah @indieadah, thanks for reaching out. Please reach your local office at +44 1276 698370 for more specific information about Estradot availability in the UK.",2020-03-27 18:04:46,0,0
Novartis,@blackbird9z Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-03-27 16:05:42,0,0
Novartis,"@bhakes24 Hello @bhakes24​, we are closely monitoring the Coronavirus situation as our primary concern is the health and safety of our associates and patients globally. Check our latest statement here: https://t.co/VZrTeCLJ9m",2020-03-26 16:01:26,0,0
Novartis,RT @NovartisNews: Novartis and a consortium of life sciences companies are committing expertise and assets to the fight against #COVID19 pa…,2020-03-26 10:57:12,0,85
Novartis,@CBCAElite1 We saw your tweet. Excedrin is now a GSK Consumer Health product. Please contact GSK here: https://t.co/TDZjdGH2bX,2020-03-24 15:57:44,1,0
Novartis,@electriclifes0 Please contact our local office in Singapore by phone at +65 6722 6010​ or click here: https://t.co/Xz6ahjYrtx,2020-03-23 20:00:59,0,0
Novartis,@400thecat1 Thanks for reaching out. We recommend you contact our local office in Switzerland by phone at +41 61 324 11 11 or click here: https://t.co/4OZdsW5MAs,2020-03-23 19:58:24,0,0
Novartis,@sanayelitza Thanks for reaching out. We recommend you contact our local office in Venezuela by phone at 0800 66827847 or click here: https://t.co/nhPq3ZsWgs,2020-03-23 19:50:00,0,0
Novartis,"@vaguily Thanks for reaching out. At this time, we are confident that our stock is sufficient to cover production/ distribution needs. Please reach your local office for more specific information about your country's situation: https://t.co/Ttxw3pdyZZ",2020-03-23 19:48:26,1,0
Novartis,"@alidaalida23 Unfortunately, we are unable to provide medical advice. Please contact our Medical Info team 1-888-NOW-NOVA in the US.",2020-03-23 19:45:51,0,0
Novartis,"@Str8gal We saw your tweet. This is not a Novartis product, so we recommend referring to the label for further info.",2020-03-23 19:44:14,1,0
Novartis,@DanaDane_91 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-03-23 19:42:27,0,0
Novartis,"@MuckeyMD Hello @MuckeyMD​, we are closely monitoring the Coronavirus situation as our primary concern is the health and safety of our associates and patients globally. Check our latest statement here: https://t.co/VZrTeCLJ9m",2020-03-20 21:19:18,0,0
Novartis,@sjmcQ Thanks for reaching out. You can find contact info for your local Novartis office here: https://t.co/Xz6ahjYrtx,2020-03-20 21:17:40,0,0
Novartis,"@click2akash Hello @click2akash, we are closely monitoring the Coronavirus situation as our primary concern is the health and safety of our associates and patients globally. Check our latest statement here: https://t.co/VZrTeCLJ9m",2020-03-20 21:14:37,0,0
Novartis,"@laurajimenez001 Unfortunately, we are unable to provide medical advice. Please contact our Medical Info team in your country: https://t.co/oaie0HzJEI.",2020-03-20 21:13:23,0,0
Novartis,@rosaenrosado Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to patientsafety.aunz@novartis.com so that we can follow up with you directly.,2020-03-20 20:26:03,0,0
Novartis,RT @NovartisNews: Today we announced a commitment to donate up to 130 million doses of hydroxychloroquine to support the global #COVID19 pa…,2020-03-20 16:32:03,0,749
Novartis,"@ab50Amanda We saw your tweet and would like to know more about your circumstances. Please provide your location, contact info and social media username to nps.safetydesk@novartis.com so we can follow up.",2020-03-19 21:32:56,1,0
Novartis,@BorgRoch Please let us know your question and we'll try to help.,2020-03-19 18:34:30,0,0
Novartis,@Danieljs61 Please contact us by phone at 1-888-669-6682 or visit our website: https://t.co/kUcNwHKR3w,2020-03-19 18:22:00,0,0
Novartis,@HfxAmanda Thanks for reaching out. Please contact our office in the UK at +44 1276 698370 or click here: https://t.co/u1Bx3N404B,2020-03-19 18:13:40,0,0
Novartis,"RT @VasNarasimhan: 11 years ago I helped lead efforts to find a vaccine during the H1N1 pandemic­, and it reshaped how I view humanity—as a…",2020-03-19 08:54:17,0,150
Novartis,@mirshadfarooq Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to qa.pk@novartis.com so we can follow up.,2020-03-18 20:42:31,1,0
Novartis,@KarolMuller_ Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to farmaco.novartis@novartis.com so that we can follow up with you directly.,2020-03-18 20:04:02,1,0
Novartis,RT @VasNarasimhan: We are dealing with an extraordinary public health crisis that’s hitting our communities in unprecedented ways and requi…,2020-03-18 08:33:24,0,78
Novartis,@ToobaTariq1 Please contact our local office in Switzerland by phone at +41 61 324 1111 or click here: https://t.co/mWB5EKdMgj,2020-03-17 18:46:37,0,0
Novartis,@AprilMAGA2020 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-03-17 18:42:31,0,0
Novartis,@TheAndreopolis We saw your tweet. We advise you to consult your physician.,2020-03-17 18:40:04,0,0
Novartis,@meghancorless Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so that we can follow up with you directly.,2020-03-17 18:06:39,0,0
Novartis,@Dianocky22 Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to drug.safety@novartis.com so that we can follow up with you directly.,2020-03-16 21:34:39,1,0
Novartis,@PolaniaYulitza We saw your tweet. We advise you to consult your physician. For more info please visit: https://t.co/Nb55RjuNkX,2020-03-11 15:27:14,0,0
Novartis,@darthdaddy77 We saw your tweet and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-03-06 19:55:45,0,0
Novartis,@Deepali46788869 Thanks for reaching out. We recommend you contact our local office in India by phone at +91 22 5024 3000 or click here: https://t.co/M9NQ9APGhY,2020-03-04 19:37:17,1,0
Novartis,@samuraichopstix Thanks for reaching out. We recommend you contact our local office in the Philippines by phone at +63 2 7368 7777 ​​ or click here: https://t.co/SWFIFPcipp,2020-03-04 19:35:17,0,0
Novartis,@eskor_buto Thanks for reaching out. You can find contact info for your local Novartis office here: https://t.co/Xz6ahjYrtx,2020-03-04 19:33:22,0,0
Novartis,@BijoyTelivala Please contact us by phone at 1-888-669-6682 or visit our website: https://t.co/kUcNwHtgbY,2020-03-04 19:28:58,0,0
Novartis,@wanguimch2 Thanks for reaching out. We recommend you contact our local office in Kenya by phone at +254 20 273 7771 or click here: https://t.co/wMHyS2mM3i,2020-03-04 19:26:45,0,0
Novartis,@LawrenceEdeke Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to complaints.ng@novartis.com so we can follow up.,2020-02-27 22:35:59,0,0
Novartis,@AdamJon54578621 We saw your tweet. Please forward details of your complaint to our reporting tool: https://t.co/EDpRHFFsoS. Thank you.,2020-02-27 17:14:14,0,0
Novartis,@Kris89961742 We saw your tweet. Please forward details of your complaint to our reporting tool: https://t.co/EDpRHFFsoS. Thank you.,2020-02-26 14:07:45,0,0
Novartis,@Jim22q Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-02-26 14:04:59,1,0
Novartis,@pmathies Thanks for reaching out. We recommend you contact our local office in Canada by phone at 514 631-6775 or click here: https://t.co/WIFCY0bNxR,2020-02-25 14:53:01,0,0
Novartis,"@Niliamsse We saw your tweet and would like to know more about your circumstances. Please provide your contact info, social media username and location to nps.safetydesk@novartis.com so we can follow up.",2020-02-24 19:45:09,0,0
Novartis,@hamedhussain98 Thanks for reaching out. We recommend you contact our local office in India by phone at +91 22 5024 3000 or click here: https://t.co/M9NQ9APGhY,2020-02-21 14:22:13,0,0
Novartis,@Lana58925594 Thanks for reaching out. We recommend you contact our local office in Russia by phone at +7 495 660 7509​ or click here: https://t.co/rNHubGtCOT,2020-02-20 15:19:58,0,0
Novartis,@1985Kay Thanks for reaching out. We recommend you contact our local office in Kenya by phone at +254 20 273 7771 or click here: https://t.co/TjwECIEIZk,2020-02-17 22:29:03,1,0
Novartis,@DColombianisima Thanks for reaching out. We recommend you contact our local office in Colombia by phone at +57 1  654 4444 or click here: https://t.co/1jwHyMwIXS,2020-02-17 22:27:38,0,0
Novartis,@REDWHIT02510525 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-02-17 22:26:15,0,0
Novartis,@mohamedA1c Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to complaints.egypt@novartis.com so we can follow up.,2020-02-07 18:44:20,1,0
Novartis,@sheepro Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to drugsafety.dublin@novartis.com so we can follow up.,2020-02-07 18:29:54,0,0
Novartis,@karenlevine Please contact us by phone at 1-888-669-6682 or visit our website: https://t.co/kUcNwHtgbY,2020-02-07 14:53:13,0,0
Novartis,@RKIDD10129 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-02-06 15:17:10,0,0
Novartis,@calikayaker Thank you for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-02-06 14:54:36,0,0
Novartis,@star9girl9 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-02-05 15:01:00,0,0
Novartis,@Cordova_Mercado Thanks for reaching out. Please contact our office in Mexico at +52(55) 5420-8600​ or click here: https://t.co/aIVLNBlq6H,2020-02-04 17:52:48,0,0
Novartis,@stacietong We saw your tweet. Please note Alcon is no longer a Novartis division. You can contact them at: https://t.co/EaWxuJb6T0,2020-02-04 14:30:26,0,0
Novartis,@DevereuxGwen Thank you for your tweet and for sharing your experience with us. We have passed your kind words to our colleagues.,2020-02-04 14:29:10,1,0
Novartis,@jlnperez17 We saw your tweet. We are sorry to hear about your experience. Please provide your contact info and social media username to quejas.decalidad@novartis.com so we can follow up.,2020-02-04 00:49:47,0,0
Novartis,Learn how Advanced Accelerator Applications is using #NuclearMedicine to treat diseases like #Cancer.,2020-02-03 13:22:07,38,11
Novartis,@PlanctonDivulga @residuscat @mediambientcat @territoricat Thanks for reaching out. We recommend you contact our local office in Spain by phone at +34 900 353 036 or click here: https://t.co/qt7uOaJuyY,2020-01-28 14:15:33,1,0
Novartis,@jazjr007 Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so that we can follow up with you directly.,2020-01-27 18:52:58,0,0
Novartis,"@Doctor_eren We saw your tweet. We are sorry to hear about your experience. Please provide your contact info, social media username and location to nps.safetydesk@novartis.com so we can follow up.",2020-01-27 18:45:16,0,0
Novartis,@blue_steens Thanks for reaching out. Please contact our office in the UK at +44 1276 698370 or click here: https://t.co/u1Bx3N404B,2020-01-27 16:17:44,0,0
Novartis,@jazjr007 We saw your tweet. Please contact our local office in your country. List here: https://t.co/Xz6ahjYrtx,2020-01-24 17:05:14,0,0
Novartis,@anaalvarezschw We saw your tweet. Please contact our office in Venezuela at +58 212 273 2222.,2020-01-23 16:38:03,0,0
Novartis,@ShawnHades Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to novartis.email@novartis.com so we can follow up.,2020-01-22 20:15:02,0,0
Novartis,"RT @FastCompany: Dr. Vas Narasimhan, CEO of Novartis, in conversation with Stephanie Mehta. Watch the full video from #FCDavosDialogues her…",2020-01-22 18:08:23,0,24
Novartis,@Anitamillsbond1 Thanks for the career inquiry. More info can be found on our careers page here: https://t.co/rgYbIt0cyq,2020-01-22 14:45:07,1,1
Novartis,"Live from Davos: At 8am CET, our Chief Digital Officer Bertrand Bodson will participate in the Bloomberg Panel “The Year Ahead” on AI, Ethics and Corporate Behavior. Watch the livestream at https://t.co/UOFUqetnMn!
@BloombergLive @bbod #TheYearAhead #NewTech #WEF20 https://t.co/cm3dkwGHMU",2020-01-22 06:23:53,22,7
Novartis,@AafkeVultink Thanks for reaching out. You can find contact info for your local Novartis office here: https://t.co/Xz6ahjYrtx,2020-01-21 14:49:11,0,0
Novartis,@P_K_I_I Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-21 14:46:15,1,0
Novartis,@jaymzk41 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-20 21:18:26,0,0
Novartis,@vonnwadukwe Thanks for reaching out. We recommend you contact our local office in Nigeria by phone at +234 1 700 9911 or click here: https://t.co/zc8UARDDb7,2020-01-20 21:15:33,1,0
Novartis,@Rarodjeyes Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-20 21:11:31,0,0
Novartis,@Sinabhfuil Thanks for reaching out. Please contact our local office in Ireland by phone at + 353 1 260 1255 or here: https://t.co/5khnbudCE7,2020-01-20 21:09:09,0,0
Novartis,@MistyTienken Thanks for reaching out. We take product safety seriously and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-01-20 19:38:28,0,0
Novartis,@sandip1956 Please contact our local office in India by phone at +91 22 5024 3000​ or click here: https://t.co/Xz6ahjYrtx,2020-01-17 18:23:44,0,0
Novartis,@DavidVergucht Please contact our local office in Belgium by phone at +32 2 246 1975​ or click here: https://t.co/Xz6ahjYrtx,2020-01-17 18:20:52,0,0
Novartis,@hmartinezdiez Thank you for your tweet and for sharing your feedback with us. We have passed your kind words to our colleagues.,2020-01-16 13:55:50,1,0
Novartis,@ZScottFanClub Thanks for reaching out. We understand your concern and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so that we can follow up with you directly.,2020-01-16 02:15:12,0,0
Novartis,@BijoyTelivala Thanks for reaching out. We take product safety seriously and would like to know more about your circumstances. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-01-16 02:11:00,1,0
Novartis,@lawicha70 Thanks for reaching out. We recommend you contact our local office in Mexico by phone at  +52 (55) 5420-8600 or click here: https://t.co/RszVdPcqqm,2020-01-14 15:37:53,1,0
Novartis,@RaquelArroyo1 We saw your tweet. Agita is now an Elanco product. Please contact Elanco here: https://t.co/UaLtpqSkhI,2020-01-14 15:33:26,0,0
Novartis,@sagelake68 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-14 15:32:17,0,0
Novartis,@yarby Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-14 14:35:02,0,0
Novartis,@CramericanMark Thank you for your message. Please let us know your question and we'll try to help.,2020-01-14 14:23:30,0,0
Novartis,@WordslingerMktg Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-13 18:09:50,1,0
Novartis,@mauohn Thanks for reaching out. We take product safety seriously and would like to know more about your circumstances. Please provide your contact info and social media username to complaints.eea@novartis.com so we can follow up.,2020-01-13 17:38:19,0,0
Novartis,"@Jane_Doyle_EJD We saw your tweet and would like to know more about your circumstances. Please provide your contact info, social media username and location to nps.safetydesk@novartis.com so we can follow up.",2020-01-13 17:32:46,1,0
Novartis,@ph_ibrahim95 Thanks for reaching out. Please let us know your question and we'll try to help.,2020-01-10 16:20:25,0,0
Novartis,@FOY_pablo Thanks for reaching out. We recommend you contact our local office in Mexico by phone at +52 (55) 5420-8600 or click here: https://t.co/W30riVKRif,2020-01-10 16:12:31,1,0
Novartis,@imogensusan Thank you for your interest. Please contact our Investor Relations team at investor.relations@novartis.com and they would be happy to discuss this with you further.,2020-01-09 17:17:08,1,0
Novartis,@bigdougyb Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-09 14:43:53,0,0
Novartis,@yogeshgupta05 Thank you for contacting us about your son. We would encourage you to contact our MedInfo team at medinfo@avexis.com​ with any further questions.,2020-01-09 14:41:29,0,0
Novartis,@AmberSchmidt07 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-08 17:04:58,0,0
Novartis,@NurseNikki82 Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-08 16:56:38,0,0
Novartis,@DadBoiler Thanks for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2020-01-08 16:53:58,0,0
Novartis,@__Selby Thanks for the career inquiry. More info can be found on our careers page here: https://t.co/rgYbIt0cyq,2020-01-06 19:13:30,1,0
Novartis,@__Selby Thank you for reaching out. Please let us know your question and we'll try to help.,2020-01-03 16:43:58,3,0
Novartis,@KilosGP Thanks for the career inquiry. More info can be found on our careers page here: https://t.co/rgYbIt0cyq,2020-01-03 16:42:39,0,0
Novartis,@lindita1951 We saw your tweet. Please contact our local office in your country. List here: https://t.co/Xz6ahjYrtx,2020-01-03 16:36:19,1,0
Novartis,"@Geoffrey_R We saw your tweet. This is not a Novartis product, so we recommend referring to the label for further info.",2020-01-03 16:22:26,0,0
Novartis,@J_P_Dempsey We saw your tweet. We take product safety seriously and want to know more. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2020-01-02 20:25:19,0,0
Novartis,@rickbvega We saw your tweet. We take product safety seriously and want to know more. Please provide your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.,2019-12-19 18:52:51,0,0
Novartis,@KonstantKhaos_ Thank you for reaching out. Please contact our US patient assistance program at 1-888-669-6682 so we can help.,2019-12-17 15:03:34,1,0
Novartis,@gonzubi Thanks for reaching out. We recommend you contact our local office in Venezuela by phone at 0800 66827847 or click here: https://t.co/nhPq3ZsWgs,2019-12-16 18:11:21,0,0
Novartis,@LincolnWeeps4US We saw your tweet. Please contact our office in your country which can be located here: https://t.co/Xz6ahjYrtx,2019-12-13 16:42:46,0,0
Novartis,@BZavaletaMD Please contact our local office in the US by phone at 1-888-669-6682 or click here: https://t.co/aTeyJ4SE6g,2019-12-12 21:41:45,1,0
Novartis,"@syrrann We saw your tweet. We take product safety seriously and want to know more. Please provide the name of the product, your contact info and social media username to usdrugsafety.operations@novartis.com so we can follow up.",2019-12-12 20:37:55,0,0
Novartis,@yogeshgupta05 We saw your tweet. Please follow &amp; direct message us with your contact information so we can follow up with you directly.,2019-12-12 15:21:13,0,0
Novartis,RT @adacap_news: Advanced Accelerator Applications approaches #Cancer treatment by using radioactivity to damage tumours while sparing the…,2019-12-10 08:49:47,0,23
Novartis,@pamjnorris Thanks for reaching out. We are sorry to hear about your experience. Please provide your contact info and social media username to commercialqa.phgbfr@novartis.com so we can follow up.,2019-12-09 22:28:59,0,0
