company,text,created_at,favourite_count,retweet_count
Pfizer,"On #MelanomaMonday, we dressed in black to help raise awareness &amp; show our support. To learn more about how #COVID19 may affect people living with cancer, check out this Q&amp;A with Pfizer Oncology CMO, Dany Habr. #MelanomaAwarenessMonth",2020-05-07 20:02:01,3,1
Pfizer,@pavan_bhureja Please contact your doctor with questions.,2020-05-07 16:31:04,0,0
Pfizer,"We have the people, the supply network &amp; the expertise to help develop and #manufacture a #vaccine for #COVID19 if approved. See how we’re mobilizing: https://t.co/61H5yA22jn https://t.co/PMTAEEhJF1",2020-05-07 16:06:01,29,14
Pfizer,"In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to launch a #clinicaltrial.

Hear from our Head of Vaccine #Research &amp; Development on efforts to discover a potentially novel #COVID19vaccine:",2020-05-07 13:47:22,36,15
Pfizer,"This #AAM, during the #COVID19 outbreak, resources about emotional well-being can be especially important. Read about how RA advocate Mariah balances family and self-care while living with RA. #RealTalkRheum",2020-05-07 11:00:01,13,3
Pfizer,@Brian_Dailey_ @LittleLeague We love hearing from our followers! Thank you for posting.,2020-05-07 03:33:48,0,0
Pfizer,"Times may be stressful due to #COVID19, particularly for those living with chronic inflammatory conditions like #UC. Learn more for advice that may help with your emotional well-being. #TalkingUC",2020-05-06 23:00:00,16,1
Pfizer,mRNA is a new mechanism for #vaccine creation that requires rapid development and scale-up of novel #manufacturing technologies: https://t.co/nGRRoEkTEE #COVID19 https://t.co/m6j5PAwNXZ,2020-05-06 21:05:01,55,24
Pfizer,@4n6guyphilly Thanks for your support!,2020-05-06 18:23:59,0,0
Pfizer,We believe in the power of #vaccines. Get more information on our #COVID19 vaccine development program &amp; collaboration with @BioNTech_Group: https://t.co/Ug99vUt42L https://t.co/ftXd8OVxSr,2020-05-06 18:22:01,52,11
Pfizer,"Today, @fitbit announced the Fitbit Heart Study to help accelerate #AFib detection: https://t.co/m2ni7sm3HI
We look forward to working with @bmsnews &amp; @fitbit to develop programs &amp; help drive timely diagnosis for individuals at increased risk of stroke. https://t.co/9popbooYIv",2020-05-06 17:00:04,17,2
Pfizer,"To all the nurses, we thank you for being our light 💡, now more than ever.  👩🏽‍⚕️👨🏻‍⚕️💙  #NationalNursesDay #NursesWeek https://t.co/To1Qt00Pyk",2020-05-06 15:54:08,46,19
Pfizer,"For more information on #vaccines &amp; our #COVID19 vaccine program with @BioNTech_Group, visit: https://t.co/9hvBUO8LXJ",2020-05-06 13:37:52,8,3
Pfizer,"KJ: The hope is that with our RNA design we have an opportunity to do this, to make a vaccine available for millions and ultimately hundreds of millions of people, as early as possible. https://t.co/s7Bgrf7WrO",2020-05-06 13:37:52,17,6
Pfizer,"Q: If all goes well, when will a #vaccine be available? 

#KnowTheFacts #FactsOnVaccines",2020-05-06 13:37:52,2,1
Pfizer,"KJ: Given the scale of the pandemic, we're working w/ unprecedented speed to develop a potential vaccine in a safe &amp; responsible way, collaborating w/ regulatory &amp; health authorities - compressing stages that have taken years into months &amp; those that have taken months into weeks. https://t.co/6fWhYivdaK",2020-05-06 13:37:51,4,3
Pfizer,"Q: How long will it take to develop a #vaccine?

#KnowTheFacts #FactsOnVaccines",2020-05-06 13:37:51,3,1
