company,text,created_at,favourite_count,retweet_count
Sanofi,#SanofiActs We are committed to supporting the #asthma community in these times of uncertainty–and beyond. Our Patient Resource Center provides links to trusted resources to help people with asthma protect themselves and manage their disease. Learn more: https://t.co/9ESa3XMx6G https://t.co/ovaTEXKnuA,2020-05-05 12:59:16,29,10
Sanofi,"#SanofiActs Sanofi carries on
With @Regeneron, we’re announcing clinically meaningful results from a pivotal Phase 2 trial for our #immunotherapy in advanced #basalcell #carcinoma (BCC). Learn more: https://t.co/BR7RlwZIG9",2020-05-05 06:31:41,18,7
Sanofi,"On this #InternationalWorkersDay, we salute workers from around the world who continue to take care of us every day. #ThankYou https://t.co/fVInuQEr80",2020-05-01 06:31:51,72,19
Sanofi,"To create new treatments, clinical trials are mandatory and can take several years. In response to the fight against #COVID19, #SanofiActs through the launch of several clinical trials to evaluate potential treatments. But how do they work? https://t.co/Oa3onFCAEr https://t.co/2wUAxHWFmc",2020-04-29 15:00:06,52,26
Sanofi,"#SanofiActs Sanofi carries on
Voices from the Lab: Laurent Vermet, Manager of the Biological Analysis Unit for Biomarkers and Clinical Bioanalyses, discusses how he designs assays for #ClinicalTrials. https://t.co/4IXVTWEOGH https://t.co/ytk6AJ2Nwh",2020-04-29 12:09:48,33,3
Sanofi,"#WIW2020
We are continuously developing vaccines to help protect people of all ages against life-threatening infectious diseases while we urgently seek new vaccines and treatments for #COVID19. https://t.co/QFpE3Dx5LM https://t.co/2wSLNSkgev",2020-04-29 07:02:02,33,8
Sanofi,"[#SanofiAGM] Jean-Baptiste de Chatillon, our Chief Financial Officer, shares the financial highlights of 2019 with shareholders: https://t.co/Fy3z2VwDsg https://t.co/gBbkAU9gRQ",2020-04-28 13:30:27,16,4
Sanofi,[#SanofiAGM] Sanofi CEO Paul Hudson presents the new company strategy to shareholders at today’s General Meeting: https://t.co/Fy3z2VOeQQ https://t.co/68g6J2wndC,2020-04-28 13:05:20,25,3
Sanofi,"[#SanofiAGM] Serge Weinberg, Chairman of the Board, opens our General Meeting with a look back on 2019: https://t.co/Fy3z2VOeQQ https://t.co/Q0CWuuWfv0",2020-04-28 12:37:37,13,2
Sanofi,"This #WIW2020, we would like to thank all the healthcare providers who are doing an incredible job everyday fighting the #COVID19 pandemic. https://t.co/qmrCcc1p0p https://t.co/MWRAHrMwte",2020-04-28 09:03:09,31,11
Sanofi,[#SanofiAGM] Our 2020 General Meeting will take place today at 2:30pm CET. Interested in joining the event? Register for our live webcast: https://t.co/Fy3z2VOeQQ https://t.co/mNkPMFpkge,2020-04-28 06:59:22,5,3
Sanofi,"#SanofiActs
This year for #WorldImmunizationWeek, we join @WHO in observing the International Year of the Nurse and Midwife, and applaud these heroes for their unwavering commitments to their patients, especially at this challenging time. https://t.co/HemNEEwewo https://t.co/JmnJlA6Wn2",2020-04-27 13:07:41,30,9
Sanofi,"#SanofiActs Sanofi carries on
Read our announcement on the positive pivotal Phase 3 trial for our #immunotherapy in first-line advanced #NonSmallCellLungCancer (#NSCLC) which was stopped early due to significant results. https://t.co/vsjWBClVQM @Regeneron",2020-04-27 11:11:36,17,8
Sanofi,"#SanofiActs to #FightCOVID19
With @Regeneron today @Sanofi shared an update on US Phase 2 trial in hospitalized #COVID19 patients. https://t.co/H8Vwj009pC",2020-04-27 11:09:12,28,11
Sanofi,Read our CEO Paul Hudson’s perspectives in @Fortune on how we can learn from today’s pandemic to better prepare for the future. https://t.co/7fsX7j7Odz https://t.co/BlKDzf8urm,2020-04-27 07:06:22,19,5
Sanofi,"#SanofiActs
April 25 is #WorldMalariaDay. “One of the key challenges is to keep focusing on #COVID19, while maintaining actions on #Malaria awareness, prevention and care. This is Sanofi’s commitment,” @LKuykens, SVP Sanofi Global Health Programs. https://t.co/jA69cEIuYz https://t.co/JFWaHUH2ql",2020-04-25 13:53:41,29,8
Sanofi,"“Digital awareness tools on malaria might be the best way to reach and educate children who have to stay home during the #COVID19 crisis.” Read more from Isabelle Villadary, Head of Malaria Program at Sanofi: https://t.co/dQshhzjLiP #WorldMalariaDay #FightCOVID19 https://t.co/mnXVsXqErR",2020-04-25 10:39:52,16,4
Sanofi,"[#SanofiResults] John Reed, our EVP and Global Head of R&amp;D, confirms his confidence in reaching future milestones for Sanofi’s pipeline https://t.co/9QiYvvEhNg $SNY $SAN https://t.co/pBXAAKUCyg",2020-04-24 14:35:18,21,8
Sanofi,[#SanofiResults] Concluding remarks from Sanofi CEO Paul Hudson during our Q1 2020 Financial Results conference today: https://t.co/9QiYvvEhNg $SAN $SNY https://t.co/CJHzEkBthZ,2020-04-24 13:08:04,14,2
Sanofi,"[#SanofiResults] Jean-Baptiste de Chatillon, our Chief Financial Officer, shares his perspective on our Q1 2020 financial results https://t.co/9QiYvvEhNg $SNY $SAN https://t.co/Ly5adLdden",2020-04-24 13:03:13,9,3
Sanofi,[#SanofiResults] Sanofi EVP and Head of Sanofi Genzyme Bill Sibold focuses on the company’s key growth driver in Q1 2020 https://t.co/9QiYvvEhNg $SAN $SNY https://t.co/LhY6gj5vt0,2020-04-24 12:50:39,21,4
Sanofi,[#SanofiResults] Sanofi CEO Paul Hudson provides an overview of our Q1 2020 financial results https://t.co/9QiYvvEhNg $SAN $SNY https://t.co/zc6m7Hj28F,2020-04-24 12:45:33,6,1
Sanofi,[#SanofiResults] Sanofi CEO Paul Hudson recaps the company’s key actions on COVID-19 at Q1 2020 financial results call https://t.co/9QiYvvEhNg $SAN $SNY https://t.co/7ji2RoXltA,2020-04-24 12:39:35,17,4
Sanofi,[#SanofiResults] Today we announced our Q1 2020 financial results. Discover more in our video: https://t.co/9QiYvvEhNg $SAN $SNY https://t.co/chaxFStzIM,2020-04-24 06:31:42,16,8
Sanofi,[#SanofiResults] Press Release: our Q1 2020 financial results are now available. View here: https://t.co/9QiYvvEhNg $SAN $SNY,2020-04-24 06:03:05,10,6
Sanofi,"Meningococcal meningitis is a rare but potentially life-threatening infectious disease. Fortunately, most cases can be prevented through vaccination. Today, we are proud to announce the FDA approval of our new quadrivalent meningococcal vaccine. https://t.co/ywmxzA6Ydp",2020-04-24 05:16:36,54,24
Sanofi,[#SanofiResults] Reminder: Q1 2020 Financial Results will be live streamed tomorrow. Register here: https://t.co/9QiYvvEhNg $SNY $SAN https://t.co/6lR7n0GYjx,2020-04-23 13:03:00,11,3
Sanofi,"#WorldImmunizationWeek starts tomorrow, #SanofiActs by working to fight the #COVID19 pandemic, while continuing to develop and provide vaccines to help protect people of all ages against life-threatening diseases. #WIW2020 https://t.co/QFpE3Dx5LM https://t.co/QvfyRuxOrz",2020-04-23 09:31:18,24,9
Sanofi,"Sanofi carries on:
We are sharing positive results from our phase 2b study of our investigational treatment in patients with relapsing forms of #MultipleSclerosis. Learn more: https://t.co/wAxYtr2LG5 https://t.co/D4G4xziktV",2020-04-23 06:54:59,23,11
Sanofi,"As the world struggles to respond to #COVID19, there is a significant risk that prevention and treatment programs for malaria will be disrupted. 
#WorldMalariaDay #FightCOVID19 https://t.co/iLGYmypUvK",2020-04-22 13:01:44,25,12
Sanofi,"What can the G20 do to support the fight against pandemics in a globalized world? Hear from David Loew, @SanofiPasteur Executive Vice President, who attended @glob_solutions #GlobalSolutionSummit today: https://t.co/pJEAHw25WU
#FightCOVID19 https://t.co/gYCHr1HoyB",2020-04-21 15:03:25,17,4
Sanofi,"Routine #vaccinations provide continued protection against vaccine-preventable diseases, which is crucial while health services respond to the #COVID19 pandemic. More information on the need to sustain high population immunity on @WHO:",2020-04-21 09:42:56,24,9
Sanofi,"During this #NationalVolunteerWeek, our Sanofi colleagues across US are helping their local communities in these difficult times. We applaud their efforts in the fight against #COVID19. #NVW2020 #SanofiActs. https://t.co/Aq6eUI31ms",2020-04-21 08:09:10,30,3
Sanofi,"Hear from Raolat Abdulai on the new perspective following the #COVID19 pandemic: ""When this is all over, our perspective is going to be different. We’ll definitely will get used to #telemedicine"" https://t.co/vQixx1irVH",2020-04-20 11:58:20,23,7
Sanofi,"#SanofiActs
We're proud to see how our employees are mobilizing to #FightCOVID19. 
Meet Raolat Abdulai, a Clinical Research Director in Inflammation and Immunology at Sanofi in Boston, who has been running volunteer telemedicine consultations for pulmonary patients https://t.co/mCimmvZ526",2020-04-20 07:10:23,44,13
Sanofi,"#SanofiActs in 
UNPRECEDENTED TIMES 
With UNPRECEDENTED TEAMWORK 
IT TAKES US ALL 

Sanofi and @GSK join forces to develop a vaccine against #COVID19 https://t.co/eBjPD1JLrd",2020-04-17 19:19:40,144,44
Sanofi,"Sanofi carries on
With Sobi, our donation of factor therapy to the @wfhemophilia’s Humanitarian Aid Program has provided hemophilia treatment for more than 17 thousand people across 40 countries. https://t.co/MJoHRSMhKd",2020-04-17 15:17:16,13,2
Sanofi,"Sanofi is proud to join forces with the @NIH, other health agencies and leading pharmaceutical companies to accelerate #COVID19 response https://t.co/vln9ezTZya",2020-04-17 13:21:51,47,11
Sanofi,"Sanofi carries on
All people with #hemophilia should receive the treatment they need, regardless of where they live. Learn more about the impact of our donation to the @wfhemophilia Humanitarian Aid program in Kenya: https://t.co/pgQUg0yZk4 https://t.co/5VnNPhFj9c",2020-04-17 13:19:44,8,2
Sanofi,"On this World Hemophilia Day, check out our Patient Resource Center listing information on #COVID19 impact on patients affected by #hemophilia",2020-04-17 09:32:07,14,3
Sanofi,"Sanofi carries on

On 4/23 we are hosting a scientific session where we will present pipeline data in patients with relapsing forms of #MultipleSclerosis. Find out more: https://t.co/vg7ZEFq4G8 https://t.co/OkVBtozyxS",2020-04-17 06:51:07,19,2
Sanofi,Sanofi and Luminostics join forces to collaborate on a unique self-testing solution for #COVID19 https://t.co/koDIEPM1H9 https://t.co/BqKGitDhYq,2020-04-16 15:00:09,40,19
Sanofi,"#SanofiActs to #FightCOVID19
Sanofi collaborates with Luminostics to elaborate a smartphone-based self-testing solution for #COVID19 https://t.co/koDIEPM1H9 https://t.co/dMIZyyP0yQ",2020-04-16 12:32:17,49,31
Sanofi,"#SanofiActs Sanofi carries on
Sanofi’s scientists dedicate their lives to finding answers for patients, whether they are suffering from a #RareDisease or living with a diagnosis of #cancer. Meet some of them in our Voices from the Lab series: https://t.co/4IXVTWEOGH",2020-04-16 12:05:59,17,3
Sanofi,"#SanofiActs Sanofi carries on
Voices from the Lab: Marie-Priscille Brun, Head of the Immunoconjugate Group within the Integrated Drug Discovery Research Platform, discusses how conjugating drugs and antibodies can better target a tumor while avoiding healthy tissues: https://t.co/Fe0PbhMs1T",2020-04-16 09:08:45,27,5
Sanofi,"#SanofiActs to #FightCOVID19
Vaccines already save 2-3 million lives every year. Through our partnership with @GSK, we're joining forces to develop an adjuvanted #COVID19 vaccine to protect people around the world: https://t.co/PWIGEsQmGS
#VaccinesWork https://t.co/ptxQPWfyy4",2020-04-15 10:22:34,58,24
Sanofi,"To #FightCOVID19, we're partnering with @GSK to combine our innovative technologies to develop an adjuvanted #COVID19 vaccine: https://t.co/PWIGEsQmGS https://t.co/lA9tOKDBVx",2020-04-14 16:01:56,129,49
